# Chapter 7: MITRE ATT&CK for ICS Detection Coverage Matrix
# ================================================================
# Description: Maps ATT&CK for ICS tactics and techniques to required
#   data sources, available detection rules, and current coverage status.
#   Use this matrix to identify gaps in detection capability and
#   prioritise telemetry deployment and detection rule development.
#
# Usage: Complete one row per ATT&CK for ICS technique relevant to
#   your environment. Update quarterly and after every new detection
#   rule deployment. Cross-reference with the threat landscape
#   assessment from Chapter 3 to prioritise based on threat relevance.
#
# Coverage Status Values:
#   Covered     — Detection rule deployed and validated
#   Partial     — Detection rule exists but missing data source(s)
#   Planned     — Detection rule in development
#   Gap         — No detection capability; data source may be missing
#   N/A         — Technique not applicable to this environment
#
# Threat Relevance Values:
#   Critical    — Used by threat actors targeting our sector
#   High        — Used by ICS-targeting threat actors generally
#   Medium      — Documented technique with limited observed use
#   Low         — Theoretical or rarely observed
# ================================================================

ATT&CK_Tactic,ATT&CK_TacticID,ATT&CK_Technique,ATT&CK_TechniqueID,RequiredDataSources,DetectionRuleIDs,DetectionLayer,CoverageStatus,ThreatRelevance,ThreatActors,Notes
Command and Control,TA0111,Commonly Used Port,T0885,Firewall logs; Zeek; DNS logs,—,—,Partial,High,Volt Typhoon,Firewall logs detect outbound connections
Command and Control,TA0111,Standard Application Layer Protocol,T0869,Zeek; Proxy logs; DNS logs,—,—,Partial,High,Volt Typhoon,DNS and proxy monitoring detects C2 patterns
Impair Process Control,TA0106,Unauthorised Command Message,T0855,Zeek ICS protocol logs; Suricata,UC-ICS-002; UC-ICS-006,Multi-layer,Covered,Critical,"CHERNOVITE, Seashell Blizzard",Write commands outside maintenance detected
Impair Process Control,TA0106,Modify Parameter,T0836,Zeek ICS protocol logs,UC-ICS-002,Sentinel KQL,Partial,Critical,CHERNOVITE,Setpoint writes detected; register-level validation is Gap
Impair Process Control,TA0106,Module Firmware,T0839,Zeek ICS protocol logs; Suricata,UC-ICS-007,Suricata,Partial,Critical,CHERNOVITE,CIP programme operations detected; not all firmware protocols covered
Inhibit Response Function,TA0107,Block Reporting Message,T0804,Zeek; Network monitoring,—,—,Gap,High,Seashell Blizzard,Requires baseline of expected reporting intervals
Inhibit Response Function,TA0107,Device Restart/Shutdown,T0816,Suricata; Zeek ICS protocol logs,UC-ICS-005; UC-ICS-006,Suricata,Covered,High,Seashell Blizzard,Modbus restart and DNP3 cold restart detected
Inhibit Response Function,TA0107,Manipulate I/O Image,T0835,Zeek ICS protocol logs,—,—,Gap,Critical,CHERNOVITE,Deep protocol analysis required — research area
Impact,TA0105,Damage to Property,T0879,Process telemetry; Safety system monitoring,—,—,Gap,Critical,"CHERNOVITE, Seashell Blizzard",Requires process telemetry correlation
Impact,TA0105,Loss of Control,T0827,Zeek; Process telemetry,—,—,Gap,Critical,Seashell Blizzard,Requires process telemetry and SIS monitoring
Impact,TA0105,Loss of View,T0829,Network monitoring; HMI monitoring,—,—,Partial,High,Seashell Blizzard,HMI disconnection detectable via network baseline
Impact,TA0105,Loss of Safety,T0880,Safety system monitoring,—,—,Gap,Critical,CHERNOVITE,Safety zone monitoring is Priority 4 in deployment plan
